Date,Customer Search Term,Keyword ID,Keyword Text,Match Type,Ad Group ID,Ad Group Name,Campaign ID,Campaign Name,Campaign Status,Clicks,Cost (*),Impressions,Portfolio Name,1 Day Total Conversions,1 Day Advertised SKU Conversions
45889,heatilator fireplace glass doors,168934578822875,+heatilator +fireplace +glass +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,1,0.4,46,Fireplace doors,0,0
45889,3 inch paint roller,317345726043118,3 inch roller,BROAD,12185778796917,"2-Pack 3"" Roller Frames Manual Target - Ad group - 1/27/2023 22:11:16",106758846784056,"2-Pack 3"" Roller Frame Manual Targeting",ENABLED,1,0.75,75,Paint roller cover,0,0
45889,heatilator fireplace doors,216071112087233,+heatilator +fireplace +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,1,0.46,76,Fireplace doors,0,0
45889,seat belt grabber for seniors,140246648303326,+seat +belt +grabber,BROAD,42412715142864,Ad group - 1/16/2023 21:37:33,53630664382317,Seat Belt grabber 2 pack,ENABLED,2,0.73,75,Seat belt grabber,0,0
45889,smoke odor eliminator,371554855635513,smoke odor eliminator,EXACT,413821976719342,Xtractor - B0CGGP5FP5 - Exact STR (Daniyal) TOS100,287402332454796,SmokeXtractor - Exact STR (Shane) TOS100,ENABLED,2,1.5,78,Smoke Extractor,0,0
45889,fireplace paint,343722306482676,fireplace paint,EXACT,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,3,1.89,773,Fireplace Painting Kit,0,0
45890,ez door for martin fireplaces,72604616306219,+martin +fireplace +doors,BROAD,21534281755198,Ad group - 10/17/2022 08:19:56,187979097220942,Martin Fireplace Doors,ENABLED,1,0.45,1,Fireplace doors,0,0
45890,heatilator fireplace glass doors,216071112087233,+heatilator +fireplace +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,1,0.5,1,Fireplace doors,0,0
45890,masonry brick sealer matte finish,451759101236199,brick sealer,BROAD,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,1,0.75,1,,0,0
45890,seatbelt grabber,522907048511175,+seatbelt +grabber,BROAD,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.77,1,,1,1
45890,3 inch roller solvent resistant,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.82,1,Paint roller cover,0,0
45890,martin fireplace doors,72604616306219,+martin +fireplace +doors,BROAD,21534281755198,Ad group - 10/17/2022 08:19:56,187979097220942,Martin Fireplace Doors,ENABLED,1,0.33,2,Fireplace doors,0,0
45890,3/8 inch nap paint roller,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.75,2,Paint roller cover,0,0
45890,b072xxfk8g,545131882153018,substitutes,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,2,Fireplace Cleaner,0,0
45890,seat belt grabber,449855257284156,seat belt grabber,EXACT,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.78,2,,0,0
45890,superior fireplaces fireplace glass doors,141132262596818,+superior +fireplace +doors,BROAD,126537202219073,Ad group - 10/17/2022 07:52:32,60720092609371,Superior Lennox,ENABLED,1,0.24,8,Fireplace doors,0,0
45890,seat belt grabber,275768519816768,seat belt grabber,EXACT,273434202641670,Ad group - 1/27/2023 19:31:20,146420942892172,Seat belt grabber exact,PAUSED,1,0.55,12,Seat belt grabber,0,0
45890,smoke eliminator spray,371625781692782,close-match,TARGETING_EXPRESSION_PREDEFINED,403745218858858,Ad Group - 8/21/2025 19:45:52.811,470908704943920,SmokeXtractor Auto - 8/21/2025 19:45:53.256,ENABLED,1,0.75,14,,0,0
45890,heatilator fireplace glass doors,168934578822875,+heatilator +fireplace +glass +doors,BROAD,51887425346751,Ad group - 10/17/2022 08:22:30,221174428371581,Heatilator Fireplace Doors,ENABLED,1,0.5,17,Fireplace doors,0,0
45890,18 inch paint roller,361808128670182,close-match,TARGETING_EXPRESSION_PREDEFINED,344749618772291,Ad Group - 8/21/2025 19:19:02.133,453073120459496,Roller Kit Tray Auto - 8/21/2025 19:19:02.436,ENABLED,1,0.84,20,Paint Roller Kits,0,0
45890,seat belt grabber,515924042900973,seat belt grabber,PHRASE,151155804930704,SBG 1/2-Packs Manual Targeting - Ad group - 6/26/2022 16:41:18,53854195030497,Seat Belt Grabber Broad,ENABLED,1,0.6,21,,0,0
45890,paint rollers 3 inch,558889389676364,3 inch roller,BROAD,69903844702296,"6-pack 3"" Roller Covers - Manual Target Ad group - 1/27/2023 22:00:37",104299600570379,3 inch paint roller covers exact,ENABLED,1,0.75,23,Paint roller cover,0,0
45890,superior fireplace glass doors,141132262596818,+superior +fireplace +doors,BROAD,126537202219073,Ad group - 10/17/2022 07:52:32,60720092609371,Superior Lennox,ENABLED,1,0.34,34,Fireplace doors,0,0
45890,fireplace stone cleaner,505086368739077,close-match,TARGETING_EXPRESSION_PREDEFINED,522555218533436,Bulk Auto 0.50,451365854880122,Fireplace CLNR Brush - B0DX84MN59 - Bulk Auto 0.50 - 29-May-25,ENABLED,1,0.75,41,Fireplace Cleaner,0,0
45890,smoke odor eliminator,371554855635513,smoke odor eliminator,EXACT,413821976719342,Xtractor - B0CGGP5FP5 - Exact STR (Daniyal) TOS100,287402332454796,SmokeXtractor - Exact STR (Shane) TOS100,ENABLED,1,0.75,160,Smoke Extractor,1,1
45890,easy reach seat belt grabber handle,140246648303326,+seat +belt +grabber,BROAD,42412715142864,Ad group - 1/16/2023 21:37:33,53630664382317,Seat Belt grabber 2 pack,ENABLED,2,0.95,7,Seat belt grabber,0,0
45890,smoke odor eliminator,282307856034099,smoke odor eliminator,EXACT,539309954473914,Xtractor - B0CGGP5FP5 - Broad+ STR [odor] (Daniyal) TOS100,282680986919776,SmokeXtractor - Broad+ STR [odor] (Shane) TOS100,PAUSED,2,2.049999,452,Smoke Extractor,0,0
45890,white wash brick fireplace paint kit,546892118977341,+brick +paint +kit,BROAD,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,5,4.16,33,Fireplace Painting Kit,0,0
45890,fireplace paint,343722306482676,fireplace paint,EXACT,463817560840567,Paint Kit Ad group shane - 3/4/2025 21:30:34,560938632034272,Brick-Anew Paint Kits (Shane),ENABLED,5,2.56,444,Fireplace Painting Kit,0,0
45891,brick fireplace sealer,451759101236199,brick sealer,BROAD,296298694091943,Sealer Manual - Exact Targeting Ad group - 7/23/2025,314733207305257,Sealer Manual Exact - B0DX83RYSF - 7/23/2025 [Shane],ENABLED,1,0.25,1,,0,0
45891,3 inch roller handle,317345726043118,3 inch roller,BROAD,12185778796917,"2-Pack 3"" Roller Frames Manual Target - Ad group - 1/27/2023 22:11:16",106758846784056,"2-Pack 3"" Roller Frame Manual Targeting",ENABLED,1,0.5,1,Paint roller cover,0,0
45891,majestic fireplace glass doors md42,500580599516287,majestic fireplace glass doors,PHRASE,28821048686590,Ad group - 10/17/2022 08:15:58,137462756850400,Majetic Fireplace doors,ENABLED,1,0.5,1,Fireplace doors,0,0
45891,b003e478ky,396699657220434,substitutes,TARGETING_EXPRESSION_PREDEFINED,552580249355790,Ad Group - 8/21/2025 19:21:44.698,382684540017146,Roller Kit Pole Auto - 8/21/2025 19:21:45.117,ENABLED,1,0.57,1,Paint Roller Kits,0,0
45891,b07bhv8y6v,468476619788956,substitutes,TARGETING_EXPRESSION_PREDEFINED,403745218858858,Ad Group - 8/21/2025 19:45:52.811,470908704943920,SmokeXtractor Auto - 8/21/2025 19:45:53.256,ENABLED,1,0.75,1,,0,0
